#Frame,Mode1,Mode2,Mode3
707,-116.02,-51.042,57.114
708,-99.847,-51.92,49.971
709,-97.726,-25.143,61.911
710,-94.265,-21.868,45.033
711,-95.487,-53.145,38.231
712,-69.967,-44.704,34.381
713,-96.939,-34.719,43.059
714,-87.544,-51.047,42.97
715,-83.653,-85.388,15.456
716,-79.609,-79.272,27.629
717,-93.441,-53.799,43.223
718,-80.5,-58.423,39.542
719,-75.929,-31.319,53.754
720,-92.546,-32.839,40.342
721,-93.882,-52.197,50.856
722,-94.528,-47.247,62.625
723,-87.291,-63.32,45.281
724,-103.909,-75.657,54.538
725,-90.198,-71.495,39.722
726,-106.46,-49.494,57.058
727,-99.722,-40.519,70.317
728,-93.481,-50.867,55.044
729,-102.619,-47.807,57.958
730,-117.073,-34.527,62.698
731,-93.726,-29.47,70.997
732,-81.776,-34.884,71.485
733,-94.958,-67.439,51.689
734,-96.468,-47.698,44.33
735,-93.987,-40.574,60.559
736,-125.058,-49.822,34.112
737,-128.811,-57.745,33.271
738,-116.829,-46.851,30.936
739,-108.283,-54.246,41.158
740,-106.355,-54.016,24.107
741,-93.635,-46.072,48.617
742,-122.686,-46.767,48.003
743,-132.982,-74.482,33.821
744,-119.27,-74.356,13.236
745,-121.714,-82.353,-18.96
746,-121.846,-75.2,0.125
747,-134.707,-75.907,4.521
748,-127.853,-75.663,3.055
749,-136.244,-68.808,-6.766
750,-137.016,-72.202,-17.543
751,-134.218,-76.662,-40.582
752,-116.691,-92.912,-18.033
753,-108.125,-99.197,-31.693
754,-105.069,-102.726,-34.52
755,-126.482,-105.086,-45.82
756,-129.071,-81.343,-24.276
757,-126.129,-94.419,-55.711
758,-123.175,-71.99,-20.908
759,-122.948,-79.471,-22.206
760,-116.29,-82.035,-23.1
761,-98.349,-82.461,-15.314
762,-107.414,-85.169,-27.708
763,-121.109,-95.144,-11.158
764,-117.656,-108.698,-28.48
765,-118.745,-111.137,-19.011
766,-123.291,-112.586,-30.256
767,-111.348,-130.798,-37.956
768,-97.738,-118.743,-29.075
769,-102.923,-116.454,-29.027
770,-115.047,-111.253,-25.158
771,-101.037,-88.329,-16.498
772,-98.67,-89.617,-6.311
773,-104.018,-72.981,-0.596
774,-113.951,-62.237,17.917
775,-116.012,-46.707,0.569
776,-123.97,-71.615,-22.514
777,-123.598,-64.777,-19.708
778,-135.905,-64.209,-44.047
779,-133.361,-56.218,-31.328
780,-121.687,-52.807,-31.69
781,-114.048,-53.544,-29.649
782,-109.184,-39.81,-31.64
783,-100.643,-25.942,-43.14
784,-105.352,-20.944,-45.772
785,-103.229,-25.242,-27.382
786,-124.058,-13.815,-41.079
787,-122.293,-5.35,-48.872
788,-131.351,-3.526,-52.508
789,-122.189,5.076,-60.559
790,-131.532,-5.623,-60.819
791,-119.413,-24.588,-77.77
792,-118.412,-39.88,-81.633
793,-127.897,-35.212,-56.091
794,-129.237,-71.244,-85.564
795,-131.125,-64.342,-83.043
796,-133.764,-46.438,-77.606
797,-135.762,-47.328,-79.505
798,-125.561,-47.845,-81.303
799,-110.282,-44.533,-78.17
800,-77.803,-40.975,-100.166
801,-90.175,-50.532,-87.773
802,-89.825,-62.005,-92.455
803,-106.412,-39.178,-85.783
804,-100.958,-40.444,-85.684
805,-91.926,-40.633,-108.259
806,-91.796,-35.29,-103.549
807,-97.36,-29.003,-93.066
808,-69.234,-2.137,-94.072
809,-95.633,3.802,-68.735
810,-80.665,17.755,-71.239
811,-91.952,-3.512,-74.799
812,-83.618,8.519,-67.977
813,-84.845,26.75,-72.35
814,-78.789,18.071,-88.097
815,-84.793,8.091,-77.513
816,-97.143,30.038,-68.07
817,-76.65,21.442,-59.264
818,-64.895,31.315,-86.151
819,-101.781,34.891,-68.254
820,-102.597,6.834,-65.752
821,-135.384,-2.778,-51.277
822,-151.018,10.151,-45.183
823,-151.256,-4.223,-46.669
824,-126.791,2.331,-43.589
825,-123.215,-6.851,-44.81
826,-148.891,-21.621,-50.664
827,-130.914,-11.825,-46.667
828,-117.522,-0.512,-37.771
829,-131.45,-3.289,-39.969
830,-127.14,-14.438,-39.238
831,-139.764,-22.819,-48.645
832,-112.955,-5.135,-38.663
833,-127.157,-6.411,-43.815
834,-115.532,-0.61,-37.02
835,-114.634,7.99,-43.969
836,-129.246,-2.642,-31.889
837,-115.108,28.008,-13.796
838,-129.627,25.317,-24.27
839,-125.229,38.838,-11.508
840,-125.098,27.512,-14.74
841,-116.25,8.848,-0.298
842,-107.183,4.742,-5.098
843,-124.638,8.692,-10.989
844,-123.957,2.113,-1.386
845,-121.63,2.225,-6.813
846,-105.908,1.653,1.792
847,-124.406,5.503,-7.552
848,-125.081,-4.886,-29.826
849,-135.963,34.221,-10.916
850,-129.109,39.622,-16.486
851,-111.57,45.18,-8.853
852,-111.288,59.313,-3.374
853,-93.459,58.994,-6.689
854,-118.269,28.977,-28.986
855,-113.83,43.832,-19.789
856,-105.634,29.043,-21.456
857,-95.19,20.706,-0.707
858,-113.044,18.6,-14.088
859,-99.526,13.457,-4.737
860,-116.644,5.455,-11.028
861,-127.93,-0.299,-4.494
862,-148.814,-2.673,-32.557
863,-136.356,23.296,-28.201
864,-137.935,30.664,-13.808
865,-129.484,13.742,-22.105
866,-130.498,20.719,-11.444
867,-123.954,19.34,-6.817
868,-136.755,27.49,-26.173
869,-112.366,20.335,-21.354
870,-121.757,20.185,-8.39
871,-106.359,25.082,-4.67
872,-111.088,30.108,-12.348
873,-120.627,22.756,-29.435
874,-134.527,9.815,-36.51
875,-129.352,27.137,-19.073
876,-122.142,39.273,-9.162
877,-105.942,35.626,-12.83
878,-101.912,31.277,-17.825
879,-95.519,27.746,-11.074
880,-104.04,23.435,-3.317
881,-95.766,32.949,-4.352
882,-106.422,36.471,-3.502
883,-106.836,49.416,-5.389
884,-115.862,36.502,-30.485
885,-116.75,40.332,-24.921
886,-125.255,56.746,-35.592
887,-121.219,47.847,-37.945
888,-132.647,61.489,-25.711
889,-119.873,45.045,-33.708
890,-130.362,40.044,-42.844
891,-129.493,44.32,-31.611
892,-115.073,60.376,-29.884
893,-124.738,41.37,-27.02
894,-116.994,63.048,-22.217
895,-136.431,46.76,-30.084
896,-132.592,63.312,-39.271
897,-132.446,53.429,-42.422
898,-125.669,38.117,-36.84
899,-131.633,34.944,-31.543
900,-144.637,48.678,-22.976
901,-140.924,57.08,-23.396
902,-137.191,54.649,-23.994
903,-151.295,60.289,-11.754
904,-136.315,56.148,-27.049
